GDP (constant 2000 US$),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Malawi,347712093,374275949.2,376777477.8,371536207.5,381423169.5,433359630.3,490775605.2,526511675.8,516386439.5,546762148.4,549382768.3,638484762.1,678270976,693875695.9,743667963.1,788933721.8,828362509,869101636.8,953796182.7,995726529.1,999776611.4,946887236.7,970592121.1,1006685618,1060647029,1109129017,1106746579,1124733859,1160469929,1176074649,1243020282,1351538834,1252430787,1373814378,1233133289,1439421907,1544739824,1603322832,1665776323,1716453871,1743506520,1656767701,1684932752,1777604054,1875372277,1924131956,2072290116,2192482943,2375260856,2589842236,2758392725,2882733194
Malaysia,6631037036,7134862821,7592994493,8150229423,8586997221,9246896226,9969699383,10354245291,11180306434,11726859459,12428892426,13143980655,14377137703,16061304719,17395939033,17535397065,19563161663,21080573283,22482860323,24584805735,26414956134,28248669795,29926902602,31797409276,34265500441,33880956357,34271437387,36118203573,39707531041,43304430213,47206007492,51712040356,56306715078,61878234603,67578484058,74220828751,81644916395,87623563754,81174981725,86157185425,93789736842,94275263158,99357631579,105108947368,112238947368,118223684211,125138421053,133247631579,139653485881,137368729998,147250929612,154815013650
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420314722.3,458492055.1,506194042,555755697.9,595920613.4,624337143.6,645905368.7,684924265.6,795445094.9,877061583.7,817106994.3,977140736.4,1080294819,1212071918,1154629612,1220714434,1311837036
Mali,,,,,,,,941397137,976308004.4,978563270.2,1038617256,1065299292,1127555558,1111148319,1094160793,1221357523,1387748415,1475851665,1454252926,1605432366,1535983932,1468223290,1400132166,1467310041,1531425622,1357512080,1472022433,1464393893,1486088686,1660907789,1630136550,1656480581,1794519417,1756127407,1772146135,1882178773,1942754935,2074106419,2199239627,2347354304,2422469641,2715588468,2828375518,3038846113,3105260709,3294054175,3468639046,3617790525,3798680051,3969620653,4199858651,4313254835
Malta,,,,,,,,,,,627739540.1,643144191.2,680693029.3,708915620.4,780065162.3,932646642.9,1091355894,1224328510,1360977788,1503754838,1609765263,1663076865,1701069041,1690651832,1706584035,1750703981,1818722232,1893481029,2052803058,2220703965,2360417128,2508096392,2625749584,2743402774,2898435363,3082268472,3198696108,3366850884,3539422300,3706482064,3957418083,3896082512,4005624314,4010915242,3990731332,4137015690,4229019047,4409988376,4602421382,4480338120,4601833501,4698472004
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,57856987.5,60652192.08,70058076.78,72766588.69,68213305.37,84954567.54,92909561.11,100146274,98452212.73,101087072,101175900,108400623.7,114911452.7,121665659.9,131658299.8,118093638.6,110481765.3,107339371,104766286.9,110937729.4,116887741.5,119945411,120149396.1,120082818.4,123231360.8,125551289.1,129379964.3,126882296.2,125193062.6,131705868.8,138291162.2
Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,319353267,368948551.9,371629363.3,364257100.3,465123119.7,540186225.7,541433851.1,560747516.3,617923814.5,625638791.8,700627426.6,713539194.5,708309609.6,675835335.5,758034559.2,719114226.1,780570482.7,765906734.5,762041097.6,798543169.4,825463738.2,853944618.4,833962962.1,865114331.4,837198264.3,862270347.7,911536847.6,928859549.9,944839630.6,989980151.1,972444587.7,989832744.4,1008383456,1067612242,1034935492,1136564092,1202698785,1154053268,1206212447,1299245507,1293653473,1319640344,1328412943,1407835146,1488746515,1622278158,1928387628,1959519170,2028435535,2003684749,2107593972,2207705290
Mauritius,,,,,,,,,,,,,,,,,1475132140,1571718173,1631927648,1689314804,1519348473,1608721913,1697154579,1703668179,1783713081,1907760968,2093615679,2279759883,2434586280,2543294177,2726074033,2846987582,3032403303,3186511947,3318310635,3460591055,3653963481,3861781830,4096216243,4203159419,4582562398,4700497863,4799834109,4975357150,5261229604,5326541854,5536815245,5862115926,6185513728,6373107274,6636426093,6909269806
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,94354817785,99075314540,103696598044,112103163998,125449584624,133686930877,141836672410,150141103029,164289317789,169905745308,180953839268,187762168998,203212756086,219187554414,231849640745,245168208694,255998377350,264678359983,288385448038,316353559443,345563280747,375878167054,373518018233,357844094429,370762913620,380378220215,366099126584,372893000113,377537151453,393387268233,413325339981,430776972106,446408398242,455115704021,475405936894,445845258682,468760936466,500522064863,525080308658,545418010284,581426421971,580513674392,585312691416,593223360014,617269309006,637055457596,669864782183,691704027302,699939486221,656259080283,692479257709,719742387372
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,163395772.3,165356129.5,169570897.4,175549986.9,182117183.5,195643648.1,203485076.9,220050095.2,218873880.9,235010116.9,227728371.7,214180760.2,220012604,223593594.1,233611434.4,237472671.4,238667142.8,242853327.6,234979963.1,239902743,240271104.7,235138826.9,229491005.2,231026154.3,238245803.8,241581245.1
Moldova,,,,,,,,,,,,,,,,,,,,,2804577459,2784631720,3111294419,3246858773,3355864083,3178309459,3429668862,3470900663,3529644422,3707266121,3618291734,3039365057,2154909825,2129050907,1471174177,1450577738,1375147696,1397150059,1306335305,1261919905,1288420223,1367013857,1473640937,1570901239,1687306011,1813877409,1900665178,1958976512,2111088030,1984642726,2125552360,2261587711
Monaco,,,,,,,,,,,1195305426,1257796712,1316262997,1402527682,1465285341,1451033426,1515047634,1568880854,1630907363,1688546972,1717006712,1732844010,1774993526,1796204225,1822869158,1854016517,1899483764,1946677847,2036197803,2120978142,2177045227,2199145065,2229199374,2208826373,2257765663,2305565976,2331174599,2383328745,2466823143,2548241662,2647883820,2705812352,2733587430,2763316164,2831583509,2885253733,3030940183,3472925286,3820217815,3719800903,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,739932438.1,801658609.2,848427676.7,898768449.5,950113943,1039187073,1075128901,1130046187,1177261729,1139772298,1040685684,944354970.2,914430329.7,933947772.4,993500269.2,1015705933,1055285084,1090530936,1124014260,1136896162,1170465415,1225863291,1311730535,1451107229,1556365693,1689531996,1862675512,2028460486,2002727457,2130204298,2497918714
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1004514318,1053735519,954684380.6,984279596.4,995106672,1014013699,1039364041,1085096059,1130670093,1227907722,1359293848,1453085123,1370259271,1404515753,1440190453
Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,7532416437,7349737688,8269776687,8671985899,8783539137,8951060778,8817757771,9702076704,10661780838,11553336581,12097898528,12775005042,13086362238,13552146554,14310531435,15392153119,17056472976,18089953268,18493841033,19380396415,20086262401,19531009681,21409694693,21290326609,22213551848,23618587123,25578766676,24927867669,27524008274,28175395271,29312116686,31334081354,30071024425,29766626322,32849863534,30688523141,34437705756,33670529277,36248368734,36440273805,37020609825,39816388505,41136714248,43735306932,45835417945,47200631556,50863330782,52239577756,55158232262,57782852366,59908047776,62633129054
Mozambique,,,,,,,,,,,,,,,,,,,,,2462152427,2585260120,2406877185,2028997418,1897112587,1916083654,1872013803,2147199839,2323270125,2474282791,2499025441,2621477663,2487658528,2702957513,2885825834,2963765703,3183084365,3508986383,3887330274,4202894942,4248747769,4754303084,5173488005,5485124961,5917558733,6483607270,6893450298,7395431383,7900511175,8401035415,8972305823,9609339537
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,,,,,,,,,,,,,,,,,,,,,2292422012,2312871047,2304350616,2263452546,2257914266,2270268891,2377200302,2460700528,2482001606,2527585913,2590637104,2802369819,3003878016,2943541615,3158897456,3288835716,3393925225,3537064383,3653542903,3776751293,3908501441,3954636212,4143947859,4319623612,4849718950,4972328354,5324020759,5610147245,5799458892,5774346122,6155469329,6389324893
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,1354713257,1380564790,1406937995,1433601041,1541586302,1523038106,1630269783,1604650135,1615489280,1687595378,1731067702,1710374808,1763700880,1755296206,1866469477,1893654058,1976947117,2036591087,2126318022,2176687898,2126201926,2303569140,2390629648,2319450901,2543999958,2700326346,2823613810,2871491521,3092504730,3226399299,3375944079,3590929275,3738387432,3882309741,4201280414,4346999805,4578620308,4809777106,4954858717,5173495488,5494252208,5757963273,5764888196,5992315213,6272911560,6491157510,6709559955,6938460637,7362028621,7695759086,8066414654,8379718550
Netherlands,98359287391,98649984992,105401103938,109221495044,118259468831,128480746992,132002538317,138972291807,147888940327,157397384437,166360843660,173565563198,177916034509,188207174820,196217127718,196458513462,205864265605,209819490793,214709855410,219051113525,226172474359,224400160606,221615900425,226203256621,233128874303,239144018447,245808904500,250556085329,259178268694,270634604237,281955594047,288832598822,293760304700,297454682600,306262566438,315805641889,326563625485,340535469587,353896255736,370474105840,385074626866,392490611985,392790134494,394108353879,402922644615,411168323101,425124149957,441791696641,449761878488,433855151011,441185443862,446362217923
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,,,,,,694967526.1,668221160.9,704310392.2,804763047,931242129.5,1219920575,1305305448,1349666247,1198512959,1350737470,1438528271,1471614396,1499572484,1646530695,1422602437,1416912105,1317728266,1349353646,1322366606,1346169194,1406746815,1392679297,1472062056,1981395536,2199349035,2278525628,2390174025,2402602807,2415331668,2477893272,2625080904,2636890594,2689817004,2603735450,2627173560,2682347064,,,,,,,,,,,
New Zealand,,,,,,,,,,,,,,,,,,31541493669,31613826996,32227359317,32457368889,33922769242,34122076179,35085826695,36847845727,37135617884,37974476325,38551087263,38493205666,38702098238,38715939299,38214854047,38643270231,41106184618,43279635659,45152836111,46778305308,47605110083,47808215119,50282008368,51599748518,53451262721,56077241190,58513885619,60712724763,62717853637,63200977861,65084119224,64081242758,63779599884,64991412282,
Ngorno-Karabakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,2103502588,1741191321,1944829723,2138207607,2375786760,2589699300,2675188806,2861636460,2900067094,3080964693,3122675612,3225872437,3297510125,3509111811,4007139876,4000999059,4209429284,4561694554,4204112424,3090914372,3233459068,3406878861,3379066399,3534949883,3479589248,3337557583,3303604303,3280269197,2871881520,2823128094,2820500756,2815121711,2825973080,2814919609,2908866342,3080833198,3276286557,3406249572,3532675436,3781225303,3936327817,4052872049,4083427038,4186354768,4408746006,4597552925,4788455384,4962899553,5099835101,5024905086,5250044048,5494417083
Niger,1020197091,1066579260,1176209886,1287105652,1288792274,1377973629,1372702919,1374389541,1379660251,1303972837,1343819364,1420139175,1346770918,1117179020,1215214139,1181270857,1189282276,1281625063,1454293440,1558231735,1523445073,1532721562,1557599200,1483598546,1233977824,1329272303,1413814378,1414868465,1512481962,1526607472,1507000407,1544738760,1444076715,1465007710,1523674847,1563378094,1616831446,1661358428,1834509565,1824075639,1798365123,1926127106,1983894009,2089040391,2091129432,2185230256,2311973611,2390580714,2598561236,2575174185,2781188119,2845155446
Nigeria,12836410903,12861030560,13388717691,14537284760,15256951393,16002249934,15322072031,12909821977,12748660891,15833503316,19793025795,22611064089,23371759533,24632142545,27381255809,25949832877,28296308039,30000910982,28271610954,30182610970,31451738767,27322792091,27258666777,25815460906,24571584325,26956196167,27633761236,27440226402,30156667431,32328043288,34977654923,36641050126,37710320429,38539752620,38578292372,39542749682,41243087918,42356651292,43152718562,43627561284,45983449593,47408936530,48143264348,53102020576,58730834757,61902299834,65740242424,69980375057,74179197560,79371741390,85581744176,91293024018
Niue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norfolk Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,38302651835,40705505694,41850936292,43435012262,45610954782,48021771422,49840122162,52958159581,54154948070,56594418064,57725534132,60968411443,64180254603,67054745037,69615254143,73113684286,77348888186,80550482412,83654855453,87300314681,91232456676,92644319022,92760122385,96347057333,102025828220,107488317889,111828214159,113818805968,113622064770,114755481808,116966569351,120598906113,124847807184,128326793090,134809195259,140452717481,147615476382,155575832146,159749542448,162985714850,168288531891,171637634124,174215767564,175929063478,182897667361,187632770146,192233391607,197333337247,197402589382,194111628292,195424832685,198252580322
Oman,538829577,544970113.4,654987545.7,684666626.6,685178342.7,688248615.9,724068246.5,1203539587,2189091628,2750947628,3133194420,3161337597,3471946111,2977122354,3319455844,4130515114,4978927994,5029076787,4843326253,5053126619,5358105188,6271505604,6997108650,8163293643,9527510186,10862047279,11079522789,10698300397,11336349949,12669148915,12652625161,13421155507,14550395886,15429670541,16027689808,16828564523,17341152466,18387433053,18873291187,18849736049,19867880550,21354315272,21902763277,21968471566,22715399600,23622652660,24921898556,26616587658,30023510878,30353769498,31567920277,33304155893
Pakistan,8608436616,9123853537,9532862993,10361157397,11145471881,12306759369,13019314804,13722437560,14715011785,15525499865,17288181549,17369154645,17510436463,18747419896,19411114501,20228597212,21271622035,22111361495,23891001859,24788929769,27321293469,29485348529,31412949298,33542237848,35241221159,37916775092,40002824738,42583944209,45831088671,48104204750,50248972481,52792358269,56860483455,57859947294,60022413964,63001091770,66054490892,66724545016,68426177246,70930666164,73952374970,75418468995,77850284715,81623159361,87637620104,94357063094,100186010330,105879697772,107569517452,111437023701,116055243076,118790417253
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112264251.4,105079339.3,92154580.6,98881864.98,109659988.3,121064627,123849111.3,126326095.7,119504486.5,119863000,121421219,117171476.3,115648247.1,121315011.3,127987336.9,131826957,134595323.1,128000152.2,125312149,127818392,135231858.8
Panama,1930103379,2137615699,2316423139,2511526589,2625299370,2865104694,3080540665,3344416101,3576148209,3881137437,4129015842,4527295893,4734658716,4990610460,5112456504,5193786965,5279154096,5340151941,5860278419,6124452769,6191729852,6761790602,7123442045,6803502364,6987841441,7333196891,7594829808,7457435151,6459641959,6560557513,7091896590,7759882802,8396323560,8854405421,9106769057,9266290384,9526727264,10142248213,10886841543,11313301599,11620500000,11687233385,11947728636,12450221829,13386737514,14349415139,15573098990,17459415719,19225857623,19840254426,21486310530,23764034404
Papua New Guinea,837055577,888794937,945447625.3,983951146.7,1068278574,1177974929,1246459544,1297196227,1353748650,1465750490,1624678937,1726955621,1824417280,1943538341,1994275024,1976727698,1909747297,1925690171,2090333990,2128637163,2079605041,2073889669,2081209365,2148290132,2140669593,2226300453,2330781992,2395356163,2465042866,2430049607,2356852386,2581858705,2939422490,3474464559,3680921041,3558992414,3834234097,3684530642,3545656503,3611448068,3521348155,3517077155,3511488507,3587480705,3685102349,3817622470,3916288942,4198261746,4479545283,4725920274,5103993896,5563353346
Paraguay,1263290494,1352424687,1370623898,1423698934,1479030545,1558360064,1576475781,1710726966,1764594760,1837339143,1926997660,2031863394,2162739399,2318340828,2509329973,2667922952,2855159778,3167340618,3526837251,3927378984,4509372596,4894303894,4712404603,4569856276,4710487179,4897781398,4897781398,5110005896,5434734613,5749875374,5927581217,6073964811,6281869444,6527603719,6770891593,7140058290,7168801119,7383288950,7426066466,7316030416,7071265939,7217236774,7213731474,7490710349,7800472023,8023446451,8371707752,8937744399,9458532785,9094701457,10463076859,10886238238
Peru,16356280982,17558476237,19022886909,19730642246,21032920217,22071787233,23924687146,24827773150,24915797888,25861265879,27370756022,28515096192,29333415569,30910283360,33769507382,34918198776,35602848010,35746297796,35847365594,37925221154,39092384026,41899446419,41648049740,36733579871,38643726024,39725750353,43698325388,47194191419,43088296766,38046966044,36090118317,36871793989,36713699866,38463105665,43394706495,47130518412,48317368876,51633902574,51294176779,51763072746,53290390318,53404908563,56085932802,58347474126,61251271118,65432704696,70497520780,76775759558,84302372402,85006410418,92506872121,98901255440
Philippines,17990832237,19001301599,19908256877,21313876851,22048562380,23209597885,24236853336,25527259808,26789689529,28037113537,29092600073,30671930089,32342566048,35227732138,36481175386,38511270214,41902815508,44250234521,46538902356,49163545544,51694932893,53464589598,55399648248,56438179178,52304826078,48483117034,50139679840,52301519734,55833203120,59297827079,61098682100,60745327250,60950405317,62240303121,64971173187,68010974412,71986809923,75719586808,75282895149,77603058843,81026294681,83371189500,86410818147,90705750112,96780891472,101404756761,106721360539,113782759189,118507880852,119868742885,129017441694,133814916391
Pitcairn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118170362822,109880027888,112643487102,116854450200,123039324941,131592842399,139802810346,149709629670,157167615405,164278190494,171276118424,173340512233,175842681117,182642797860,192404689711,199364063181,211779433442,226149246712,237742898868,241612593969,251030838904,261950140322
Portugal,20981025078,22142318529,23606910623,24993510231,26570787524,28555356597,29719818177,31962024667,34798817118,35536809956,40018991717,42672912124,46093443125,51256218074,51842005085,49588105981,53009799835,55979725443,57556095543,60801647711,63592042134,64621027189,66000928625,65886672394,64648016404,66462970413,69215172550,73632065332,79146450269,84243987334,87572065710,91397394349,92393147458,90505299488,91378529219,95292070961,98806759496,103161131029,108461880496,112879698513,117299520914,119616127053,120530280650,119432109121,121295724322,122235857829,124006192051,126939300662,126928507821,123236970884,124963902469,122952502443
Puerto Rico,8883563977,9731036209,10463734698,11551922879,12373336953,13496888757,14449829269,15357479694,16087074773,17511522308,19032753659,20238818993,21732751774,23028155282,23041183567,22454901211,23639252208,25185919129,26850464791,28490812117,28925715107,29235296891,28344395984,28476543421,30560478202,31189568233,33736327162,35395908004,37698847573,39560680509,41057095700,42003209981,43920097566,45960227806,47883790342,50062266271,51220336159,53720073237,56690976980,59746907063,61701800000,65596986166,66198512904,66233696711,68237156795,68800856189,68698523857,67026665310,65768976160,64272661028,62940362095,
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17759889598,18350889420,19659942528,20346088723,24586857388,26455458550,31376173840,37023885131,43577112800,48806366336,56908223147,67606969099
Reunion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,,,,,,,,,,,,,,,,,,,,,40945223260,41258753229,42909325746,45526793810,48212873920,48165021730,49321357908,49716312212,49468155772,46599150980,43989597124,38314937347,34927739544,35455614743,36863281940,39502657934,41086280751,38578877726,36731311750,36290534542,37052636395,39164637562,41162034208,43302459253,46939862239,48898332853,52761301149,55926979218,61198545647,55996669267,56527456853,56320357839
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397827114199,385892318110,366416566465,313172304875,286024837287,250072213201,239710400010,231080825610,234315957168,221897211438,236098632970,259708496267,272932811945,285879843583,306737220532,328748527632,349710148603,378223527671,410505209128,432048331750,398209755704,415332775199,433192084533
Rwanda,623378345,597789677.5,665541954.3,600182776.5,525370037.4,562196003.9,601599820.5,643206569.4,688319669,764085562.8,809941586.7,819714671.5,821871080.8,850127732.8,862113033.9,843889469.6,1008486542,1028596868,1122722130,1255988215,1368419410,1442809419,1468936482,1556784024,1490764343,1556398946,1641567236,1641172667,1715006153,1714379588,1673246631,1631174858,1726969276,1586934659,789530666.4,1067635567,1203713148,1370424439,1491825811,1604922565,1734921293,1882389602,2089452459,2135420413,2293441523,2506731585,2737350891,2887905190,3211350571,3343015945,3583713093,3891912419
St. Barthélemy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Helena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,118650235.4,127411353.7,139114506.3,150551812.4,152223691.3,149825165.4,148365963.6,163749612.9,174229871.7,194593721.1,211537003.1,230719293.7,248294690.1,253930654.3,254929046,263365240.8,280899292.7,295237288.7,306066092.3,326093212.3,348170275.6,352152046.2,370501370,380822121,388620284.2,392602073.6,394445749.7,424562727.6,448388479.4,473076755.3,449975325.9,468164897.3,441972417.3,430078475,429699134.8
St. Lucia,,,,,,,,,,,,,,,,,,,,,267518285.4,276908780.7,246942772,257440039.1,317943819.5,299478529.7,344032616.1,350689789.2,393360867.6,429014030.7,530024926.3,544218686.4,582432186.3,597417934.6,605908337.7,625829659.8,659732321.6,662395345.8,704478316.3,721094047,721059216.7,684141271,705388184.8,719715168.7,760216630,793196038.3,839865385.4,849688217.9,895572648.6,743962494.3,776681179.1,782128965.2
St. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,107215633,112069602.1,116209758,108928800.2,112926190,113925535.2,113925535.2,103075477.2,109785379.3,112926181.2,125061108,128772965.6,162036935.3,144048694.3,131342720.6,121349250.4,133941436,137740192.4,154136395.2,159303240.1,162531133.1,172493388.2,180767949.9,188720276.3,199840425.1,212063867.4,226193438.6,236461552.4,271007209.9,277763401.6,291778284.6,293575213.2,315662581.4,316159610.6,306664532.8,309736577.7,313887517.3,355555287.1,373955983,390428641.7,397447006.7,406289600.4,421897051.5,434863023.5,463458928.9,473319264.7,518425049.5,534605272.2,531422080.4,519211092.6,509682321.6,509866725.9
St.-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoa,,,,,,,,,,,,,,,,,,,,,,,175593116,176349983,178620583.8,185621605.9,195839303.4,196785390.1,193947142.2,201137372,192244188.6,187822577.6,187446928.5,195132251.7,190171788.4,202640783.9,217381536.9,219128135.9,224375383.7,229494645.9,245617503,263035595.6,274630824.9,287713853.5,301501274.7,314000699,320241629.4,341011349.5,328406851.8,322746752.5,328269116.2,335162767.7
San Marino,,,,,,,,,,,250919316.8,255481090,264909874.5,283786974.9,299395479,293137632.9,314025130.5,322065351,332500696.9,352315315.6,364399495,367475954.5,368995789.3,373310009.3,385352399.6,396135226.9,407464484.7,420470739.3,438106445.4,452951398.2,462250274.6,469336170.9,472965422.7,514357505.1,550271224.5,601402621.5,630620563.2,645784080.8,694347043.7,757375569.9,773907642.4,817304332.6,819370841.7,851401732.1,890665404.2,911330494.8,946461148.8,979525293.7,998123875.3,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,,,,,,,,,37099721527,39339763036,44074095962,52863669424,65283338516,82007434858,104553438731,110018966655,124012084323,132697452565,131404162525,144315366316,153723600651,160934662343,143073869143,131318117490,127262586722,121759538480,127957463789,122859910090,132963919014,133046978813,144127803750,157248891087,164527237655,164570123593,165665432008,165998276055,171615358357,176064764661,181055435208,179700216156,188441864875,189473468746,189716092331,204246598743,215004097759,226944734103,234111140403,238833567253,248933106154,249173365798,260739768720,278403467184
Senegal,1870217818,1931233186,1928602164,1964560538,2040862637,2068050794,2127543673,2101592047,2233798443,2087392100,2266115562,2262932815,2407380545,2272970708,2368453106,2546931741,2774130881,2699703576,2592959153,2774510001,2682655748,2818653423,3039722232,2877814688,2985610845,3083642502,3179646769,3373426354,3353441130,3486836192,3463277797,3551793131,3595929391,3642704536,3642073304,3837414918,3914628506,4036922805,4275047661,4546389886,4691828357,4906757093,4938886719,5267878968,5578711668,5892630725,6041595932,6334999295,6569659707,6707035904,6984284544,7168101438
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11908238671,10955579577,9883838097,7199338861,5002930395,5128003655,5440811878,5865195204,6457579920,6502782979,5774471285,6082791506,6405179456,6669246165,6847617227,7484445629,7888605693,8172595498,8613915655,8941244450,8628300894,8710614885,8865794489
Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia excluding Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,48981400,46589992.71,50507548.88,55626795.76,58919480.48,118082215.1,120565081.7,121173627.5,130326155.4,130326155.4,141888524.4,164380374.9,174749994.3,190572183.5,193055050.1,199189191.2,231612508.1,217275170.5,263232544.7,304808389.6,291858536.2,267881834.1,264887789.1,260360208.8,272105407.2,302379135.9,301844521,315138082.8,332145280.4,369341648.5,395179106.9,406087733.6,435169568,462135505,458444439.6,454659334.2,477017316.8,534076017.1,578956552.2,589794649,614879764.8,600914842.4,608202933.2,572397248.3,556081328.9,597623469.4,653242423.3,715953695.9,708840351.3,712543437.5,760361490.5,798003689.8
Sierra Leone,488526149,497363800.2,519948926.6,528786577.4,564137222.8,604643154.2,614922087.9,615145191.1,627570655.5,681073857.8,739785783.7,765426141.2,772316772.5,789745013.8,817384733.4,831028654.5,827295870.3,827682017.4,847598796,885836229,928741740,955502769.8,1001192576,980139482.7,1020256928,966067608.2,978008657,1048731091,974480930,981594640.7,1014478061,1038318296,840933987.6,852538876.7,835914368.6,769057937.4,807510834.3,672333654.1,666703294.9,612555159.7,635876870.1,751415299.6,957766830.8,1046724725,1125375032,1206157644,1293976843,1377335079,1453557725,1500071572,1574302614,1668760770
Singapore,3705795365,4217950558,4216235949,4591736530,4617455666,5250605184,5820947343,6535267252,7423671459,8440042998,9603756795,10761031619,12214093126,13569873937,14449518821,15119171982,16238161023,17449848067,18963876784,20745905987,22830334872,25278942771,27095545197,29416997888,32013064064,31804986630,32214412480,35684612707,39636111642,43690170069,48105739109,51225740433,54827446525,61121397323,67585023753,72504108856,78033678182,84672375059,82834715452,87967794883,95922652586,94815323307,98799423166,103324686776,112788294399,121101240197,131714117434,143379969740,145818948185,144390308367,165706962574,173808582448
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,25397205025,26285694970,27380932820,28054474188,28599163479,28944720186,28171611567,24065936365,22448347451,21617758596,22959255152,24300878165,25987692368,27141951769,28325599406,28336290314,28724041828,29724210072,31086438645,32570824494,34218193031,36495488121,39541185362,43690611893,46203030728,43924489377,45761806914,47294463920
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16709399038,15222244613,14390547008,14799730411,15588184208,16155992417,16745318458,17575439822,18193202385,19162102396,19979467790,20566790943,21353851323,21979529731,22947026192,23866572258,25262671897,26998265242,27967310657,25727727934,26082652065,26037113239
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340865987.8,361332195.7,407186864.1,423378484.2,462303139.1,500321063.3,508352106.9,501033494.6,509971268.9,507510142.6,435101217.2,400386383.6,389175564.8,414471976.6,434774351.4,458344309.2,490183884.1,542633559.7,582245809.6,575258859.8,615526980,670924408.2
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somaliland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
