GDP (constant 2000 US$),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Brunei,,,,,,,,,,,,,,,3547350293,3559959840,4277483739,4744443736,5065919390,6208913809,5774494578,4629601948,4812779345,4836913747,4865929264,4793390472,4663227406,4756917696,4809118509,4757460042,4809288783,4960586183,5196639649,5212467261,5376420034,5617214140,5778895442,5693877966,5662077180,5834892612,6001153318,6165827450,6404574284,6590560241,6623797619,6649465293,6941890187,6952621062,6817818067,6697458250,6871522907,
Bulgaria,,,,,,,,,,,,,,,,,,,,,11464296023,12026065057,12306821433,12728983093,13161315818,13514491918,14083127965,14935792899,16570469409,16025320520,14564231602,13334230508,12364513548,12181492190,12402953053,12757701010,11605673635,11414698748,11969608572,12204708618,12903546576,13439228305,14064179291,14838464302,15839807530,16846951092,17952499282,19101459236,20285749709,19170033475,19246713609,19573907740
Burkina Faso,596612183,620738750.3,658782579.2,650429108.3,665277229.1,690321892.2,694033153,755269884.2,778462514.9,794234796.3,795164206.9,806402579.7,825042565.1,828749707.5,897423442.7,924331633.7,1003222368,1006937838,1053335771,1091936540,1100637952,1147473436,1257197102,1261546812,1239107721,1344647048,1451618598,1448187889,1532118965,1565063618,1555627403,1696722567,1700671023,1759537794,1782675844,1884580260,2092161948,2224320361,2386867457,2563595395,2610945549,2784535504,2915395385,3149921833,3295911699,3581061359,3823420769,3961301219,4191056891,4315340132,4655655008,4849461450
Burundi,341126765,294235019,320902003.5,334172608.7,355135383.2,369224405.1,386256700.6,439643242.3,438333616.9,431935957.4,524049197.5,538443931.3,503962170.8,538680380.4,534765038.2,538497271.6,581268284.3,647936577.3,641842241.4,652528625.5,658995547.9,739150992.3,731363298.8,758535836.8,759715693.9,849234363,876836012.3,925089140.8,971630600.9,984742777.5,1019207023,1070135131,1080943479,1013492606,974675838.8,897481512.4,825682991.4,812554631.9,851150976.9,842554352,835334806.6,852507678.9,890414598.4,879518346,922031252.8,930329534.1,980424592.2,1027346066,1079207715,1116639230,1158914103,1207491444
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2211084362,2412281198,2567702131,2706674885,2858784408,3001981856,3359510628,3654031716,3947765866,4211787743,4570038145,5042604253,5710753630,6325863882,6971897273,7438427180,7444876071,7888819881,8435594576
Cameroon,2537944080,2785779139,2870510257,2977940547,3083572854,3146047697,3291236402,2932094527,3118174741,3271011438,3372153343,3489494427,3582798039,3774681265,4179865452,4649893779,4394375680,4998157253,6097902039,6465917670,6338843529,7421688027,7979517136,8527457057,9164848021,9903824534,10574478164,10347481106,9537932265,9364425783,8792662258,8457784979,8195593373,7933334602,7735001163,7990255903,8389769052,8817647112,9261990653,9668944996,10075040331,10529854963,10952001542,11393475992,11815245845,12086601214,12476049222,12912710945,13287179562,13552923153,13986616694,14518108128
Canada,167894860728,173205864895,185532543976,195146424965,208220175172,222038801086,236659979328,243559352224,256456652565,269946274608,276920125854,288322748523,304024389011,325197264382,337200255236,343347325297,361198991147,373690085185,388464263753,403245029408,411965674557,426397324574,414206601727,425463934275,450202400113,471722414995,483141789896,503690868080,528746831536,542596841726,543644188640,532270264643,536928652927,549484959132,575883371021,592056646975,601640859296,627065699653,652759293179,688868389470,724918860683,737849972166,759428612127,773714028802,797853728386,821941389978,845145064427,863738436331,869687235058,845598914757,872784483603,894251850391
Cape Verde,,,,,,,,,,,,,,,,,,,,,168002515.5,182201353,187348595.4,205185586.2,212948312.7,231351490.4,237994645.6,248249986.1,263137178.1,278130601.2,280055742.5,283988137.1,292633758.5,314026757.7,335787330.6,360942910,385103610.7,414523320.5,449397101.7,502696350.7,539227052.7,572322732.9,602555643.3,630774693.7,657771850.6,700664444.4,771724177.1,838471844.9,890437200,923495946.3,971606714.9,1020632797
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,534982718,561479896.3,540628553.6,536804991.2,547972473.7,553164890.8,556732800.3,582768491.2,590951707.4,632858495.2,647622869,654941830,654936702.6,667306943.4,709608468.6,712482410.3,751187608.5,779779920.3,789209202.1,769754632.8,735280403.1,723923942.4,779779920.3,716411512.4,784338464.5,815141622.8,844307119.6,802606510.9,816333273,832474749.9,814596168.9,810096120.4,758054781,760595369.8,797864535.9,855310801,821098357.4,864616592,905253518.8,937842672,959413050.6,961916948.9,956312926.5,883633144.1,892469475.5,913888742.9,948616515.2,983715326.2,1003389633,1020447256,1054122016,1086799798
Chad,750173439,760658940.9,801431143.4,788612620.8,768811034.2,773471780.2,759494430.6,765321282.4,761822089.1,814245430.4,829387598.2,810746063.9,820066531.1,751337714.5,788617984.3,859674572.8,885299453.8,905082575.4,900831998.3,707683819.5,664885432.3,671819642.7,707739212.2,818703645.9,835478056,1017551897,976018811.4,952703591.1,1100204582,1153946661,1105729319,1200104833,1296130541,1092510545,1203257112,1218135979,1245111272,1315502297,1406950491,1397343126,1385050964,1546522070,1677840504,1924846596,2572160416,3017980987,3024016949,3030064983,3017944723,2981729387,3369354207,3473804187
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5864053632,6085143916,6439703435,6342273216,6238754215,6038979513,6052518748,6135906366,6435479684,6815065491,,,,
Chile,14087170195,14657690860,15418876405,16361981977,16798498659,16868577798,18555706498,19231279565,19952775457,20645399593,21083602246,22984914082,22796622697,21670218613,22210640172,19686893963,20357505085,22128086935,23779489868,25844101253,27950035375,29274115494,26252080505,25258026490,27271935216,29213486581,30848376502,32882584739,35286696752,39013086690,40455626742,43679935489,49042927669,52469207193,55464212029,61358713993,65907537053,70261111897,72531163202,71979306357,75210511780,77750400228,79448554863,82560485563,87548035975,91287855656,96486092629,101465571562,104806280194,103720034589,110041983987,116631547327
China,70348527260,51282752582,48151766858,53131628623,61546062211,71616855292,79279858808,74760906856,71695709675,83812284610,100071867825,107076898572,111145820718,119926340555,122684646387,133358210623,131224479253,141197539676,157717651819,169704193357,182941120439,192454058701,209967378043,232853822250,268247603232,304461029668,331253600279,369679017911,411452746935,428322309560,444598557323,485501624597,554442855290,632064855030,714865351039,792785674302,872064241732,953166216214,1027513181078,1105604182840,1198474934199,1297948353737,1416061653927,1557667819320,1714992269071,1908786395477,2151202267702,2456672989716,2692513596728,2940224847627,3246008231781,3547886997336
Christmas Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocos Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,19017657851,20019008355,21113347503,21726503327,23160961294,23858682287,25128529190,26181574241,27864380352,29681398501,31746189470,33635476030,36216465586,38652921703,40872574277,41791408981,43804579414,45621599255,49482760497,52146344940,54283406011,55511957161,56038477150,56926337503,58836273631,60653293472,64194410101,67642617209,70388786389,72794271537,77192529433,78950382026,82923700136,84885385125,89839136187,94512961181,96456010347,99764734772,100333178358,96115156245,100363791871,102048140770,104603036182,108702006197,114498365688,119887295312,127916765207,136743824883,141593861545,143932353897,149691353901,158566346502
Comoros,,,,,,,,,,,,,,,,,,,,,135611414.1,140852688.4,149844193.5,157068223.9,163524143.1,167253101.6,170376071.3,173166816.2,177820706.8,172164807.4,180930393.8,171168115.5,185770336.4,191354476.5,181257309.2,187800932.8,185375167.5,192846418.2,195319986.8,199078184.9,201900820.3,208622519.7,217279133,222655960.9,222121733.3,231517228.6,234393020.9,235543869.4,237840250.7,242145965.6,247231030.9,252737368.2
"Congo, Dem. Rep.",4992962083,4451156989,5394833319,5676119396,5537609393,5592838673,5971780635,5912914485,6169103240,6744608852,6728080745,7132103209,7142882350,7724118393,7965928553,7569095386,7167251955,7221779949,6835754757,6865154536,7015838700,7180747678,7147883004,7248789932,7650450747,7686243454,8048819672,8264177308,8303050456,8197929633,7659464144,7014456724,6277938167,5432359503,5220497656,5257041078,5203252472,4910983356,4831221421,4624921463,4305797176,4215380704,4361586318,4614184091,4920560759,5303776065,5599793442,5950214773,6316453096,6495485661,6961485000,7440411972
"Congo, Rep.",626127041,678538007.8,713837650.3,685074986.9,711222903.3,737370784,747391523.7,763208361.6,821451281.6,883458738.7,939633199,1012483298,1099734561,1190255791,1284113659,1383396150,1396072025,1271075722,1351912922,1484579175,1746408548,2054120887,2538846171,2687469282,2874950661,2840863497,2645936897,2650947683,2697770403,2767909102,2795588292,2862682411,2937112153,2907741032,2747815275,2857727886,2980610185,2962726524,3072347405,2992466373,3219893817,3342249782,3495993272,3523961218,3647299861,3931789250,4173100882,4106748578,4335494474,4659307269,5067059617,5293029727
Cook Is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,2398494445,2375566267,2569135008,2692060708,2803755710,3079354166,3321721143,3509402571,3803666600,4015824845,4317137578,4609774984,4986764462,5371189936,5669017047,5788070432,6107430946,6651265573,7068146069,7417250565,7473020531,7304006551,6771868125,6965746215,7397741148,7474782131,7907194502,8450848890,8773620017,9218062905,9578020684,9824359311,10723486281,11518491952,12063270098,12536256860,12647402445,13352898208,14474254065,15664354699,15946443261,16118090925,16585867507,17648111591,18399824531,19482907711,21193436187,22875207933,23497907525,23261376837,24349981201,25363904537
Cote d'Ivoire,2003623491,2202622974,2229649037,2552733117,3002348243,2908985592,3245769317,3395014717,3821029605,4185525978,4619775632,5056651074,5270882418,5583930537,5825568478,6306346025,7120898741,7641753971,8475427578,8678363849,7727415010,7997913088,8013974686,7701410404,7493375175,7830668715,8085897519,8057679927,8149254167,8389494583,8297553406,8300949194,8280648342,8264709328,8331753202,8925452666,9615330127,10165236491,10648336839,10817267121,10417006096,10414794516,10265778787,10106108491,10287397439,10416603855,10487850374,10667682580,10916239584,11331056688,11603002049,11057660952
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25147844849,19844498690,17520054878,16113968509,17059934941,18211797513,19289988823,20552256735,20958526744,20739955885,21517784659,22304474424,23392545951,24648975414,25666592894,26765073226,28085993743,29507125184,30147225799,28341089554,28003469442,27992416493
Cuba,,,,,,,,,,,15468957115,16796790511,17607518857,18212247101,18391545130,20134406356,21227293964,23076085740,24598183991,24865857365,23660001783,28318262074,30843751163,32512851711,35091028699,35651318221,35685295198,34828072770,36118640909,36364277745,35292053461,31518380977,27868362412,23722057178,23892127731,24479205339,26398069059,27133256342,27175508484,28857999502,30565200000,31537855021,31988401919,33201198865,35117199825,39050927790,43762736985,46940846885,48873320833,49581552318,50605230812,
Cyprus,,,,,,,,,,,,,,,,1930010486,2321151992,2700938929,2911001893,3199353131,3383419767,3468580371,3677448289,3882730110,4222775483,4428954211,4593000516,4917507414,5342713390,5767321557,6194334045,6240141145,6826714413,6874501414,7280096997,7724182914,7866990431,8051748059,8457818690,8867754207,9314937556,9689915174,9892554194,10083883129,10509896324,10920829406,11371347785,11954759661,12388312912,12181903864,12320777568,12379424470
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56341410900,49797388500,49545143638,49575814188,50676144450,53685084745,56122215304,55643759659,55512454162,56444667843,58807244368,60628710342,61931803247,64264262986,67312054039,71857267365,76901921232,81312346952,83832217961,79896120088,82084475849,83442890476
Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,52164745342,55492247059,58636894019,59010423485,64480653282,67417911345,69265775692,71635777000,74483261672,79192454725,80796964460,83222395087,86696928071,89956073414,89222072908,88132268349,93502608471,95352888525,97521734448,101373969024,100879727996,99985021834,103698448292,106448383104,110882572572,115344969038,121053669414,121404648587,121231447726,121925983178,123885874634,125496920044,127976062128,127861389126,134926238386,139061964293,143003738460,147577647548,150765998042,154626288221,160082517846,161210834024,161961831922,162583491905,166317200732,170383902313,176167942355,178957142594,177554383049,167196323657,169362540761,171051872547
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660030923.3,631797330.5,631683815.3,589860779.8,584331764.3,563948745.8,540739442,536706216.9,537239587.7,548946071.7,551230861.9,562518771.1,577248676.1,595720398.9,618515497.6,638119971.9,668748867.1,702855469.8,743620824.3,780798170.8,,
Dominica,,,,,,,,,,,,,,,,,,161703930.5,180740521,147404440,168425321,188778472.5,196583358.7,201874800.1,212829333.7,215563245.1,230820234.6,248174892.5,269416250.3,268761119.4,282884248.8,284603957.2,290430832,295312826.7,299539690.6,305454756.1,313524214.4,318198300.8,334038477.7,336320953.6,328735889.7,328138870.4,322207191.5,346628444.6,358119886.8,356587477.3,373153709.8,387615140.6,417737931.8,414658637.6,416046523.1,420473812.4
Dominican Republic,3019307866,2949463771,3452265961,3676763462,3925491550,3435518212,3898053873,4027763264,4037383996,4477113494,5293142768,5868584993,6478575344,7314037114,7753018516,8155652412,8704374711,9138007853,9333623790,9756567536,10534042898,10984885967,11171487180,11688497606,11834942324,11583741531,11991720124,13204966507,13489660739,14083278499,13315132485,13440845833,14853906416,15926747835,16293581673,17188690649,18414479323,19888424784,21282722240,22711932398,23996656676,24430811264,25844917268,25779436894,26117652335,28536865195,31582078269,34258540899,36059049713,37304548928,40196106908,41998064066
East Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
